Name of Song ,Plays
NADIE SABE,"43,536,111"
MONACO,"140,281,724"
FINA,"76,328,936"
HIBIKI,"61,888,732"
MR. OCTOBER,"41,169,308"
CYBERTRUCK,"38,766,184"
VOU787,"29,962,926"
SEDA,"49,395,989"
GRACIAS POR NADA,"34,782,550"
TELEFONO NUEVO,"42,194,832"
BABY NUEVA,"48,644,684"
MERCEDES CAROTA,"35,152,926"
LOS PITS,"32,497,103"
VUELVE CANDY B ,"26,432,180"
BATICANO,"27,034,382"
NO ME QUIERO CASAR,"32,551,764"
WHERE SHE GOES,"558,344,903"
THUNDER LIGHTING,"34,093,252"
PERRO ,"134,238,446"
EUROPA,"13,009"
ACHO PR,"28,065,113"
UN PREVIEW,"121,571,663"
