"Artist Name,monthly listeners,origin ,Latitude,Longitude"
"Young Miko,""30,172,477"",""Añasco, Puerto Rico"",18.28273 ,-67.13962"
"Mora,""25,268,540"",""Bayamón, Puerto Rico"",18.39856,-66.15572"
"Byrant Myers,""16,082,345"",""Carolina, Puerto Rico"",18.38078,-65.95739"
"Luar La L,""9,006,894"",""Carolina, Puerto Rico"",18.38078,-65.95739"
"Yovngchimi,""10,122,460"",""San Juan, Puerto Rico"",18.466333, -66.105721"
"Eladio Carrion,""20,951,154"",""Kansas City, MO"",39.099724,-94.578331"
"Feid ,""44,330,186"",""Medellín, Colombia"",6.25184,-75.56359"
"Arcangel ,""25,869,232"",""East Harlem, New York"", 40.816357,-73.962898"
"Rafael Castillo,""18,421,243"",""The Bronx, New York"", 40.837048,-73.865433"
"Nengo Flow,""19,617,966"",""San Juan, Puerto Rico"",18.466333, -66.105721"
